title,rate,review,label,area,time,category
The Bakeshop on 20th,4.5 ,(425 reviews),Bakeries、Coffee & Tea、Breakfast & Brunch,$·Rittenhouse Square,Closed until 8:00 AM,Women-owned
The Frosted Fox Cake Shop,4.9 ,(129 reviews),Bakeries,$·Germantown,Closed until 10:00 AM,Women-owned
The Kettle Black,4.6 ,(114 reviews),Coffee & Tea、Bakeries、Bagels,$$·Northern Liberties,Closed until 8:00 AM,Women-owned
Crumble Factory,5.0 ,(2 reviews),Bakeries、Desserts、Juice Bars & Smoothies,,,Women-owned
Tartes Pastry Shop,4.2 ,(205 reviews),Bakeries、Desserts,$$·Old City,Closed until Noon,Women-owned
Ramona Susan’s Bake Shop,4.8 ,(91 reviews),Cupcakes、Desserts、Custom Cakes,$·Fishtown,Closed until 10:00 AM,Women-owned
Grandma B’s Bakery,5.0 ,(1 review),Custom Cakes、Cupcakes、Desserts,Frankford,Closed until 11:00 AM,Women-owned
Pennsylvania General Store,4.2 ,(75 reviews),Chocolatiers & Shops、Gift Shops、Bakeries,$$·Market East,Closed until 8:00 AM,Women-owned
Bredenbeck’s Bakery & Ice Cream Parlor,4.3 ,(358 reviews),Bakeries、Ice Cream & Frozen Yogurt、Custom Cakes,$$·Chestnut Hill,Closed until 9:00 AM,Women-owned
Cake Life Bake Shop,4.2 ,(277 reviews),Bakeries、Desserts、Cafes,$·Fishtown,Closed until 8:00 AM,Women-owned
Sweet November Bakery,3.0 ,(2 reviews),Cupcakes、Desserts、Custom Cakes,Germantown,,Women-owned
Coffee Cream & Dreams,4.8 ,(49 reviews),Bakeries、Coffee & Tea、Sandwiches,Francisville,Closed until 7:00 AM,Women-owned
Pretty Tasty Cupcakes,4.3 ,(51 reviews),Desserts、Bakeries、Cupcakes,$$$,Closed until 8:00 AM,Women-owned
GF Sweeties,5.0 ,(1 review),Bakeries、Gluten-Free、Cupcakes,,Closed until 11:00 AM,Women-owned
Sweet Nina’s,4.7 ,(88 reviews),Desserts,$·Market East,Closed until 10:00 AM,Women-owned
The Famous 4th Street Cookie Company,4.1 ,(438 reviews),Bakeries、Desserts,$$·Market East,Closed until 8:00 AM,Women-owned
Flying Monkey Bakery,3.7 ,(395 reviews),Bakeries、Cupcakes,$·Market East,Closed until 8:00 AM,Women-owned
maman,3.7 ,(56 reviews),Cafes、Bakeries、French,,Closed until 7:30 AM,Women-owned
A La Mousse,4.8 ,(100 reviews),Desserts、Coffee & Tea、Cafes,Rittenhouse Square,Closed until 11:00 AM,Women-owned
Little Blue Owl Baking,4.4 ,(76 reviews),Bakeries,$$,Closed until 7:00 AM,Women-owned
Sprinkles,5.0 ,(1 review),Bakeries、Desserts、Cupcakes,,Closed until 10:00 AM,Women-owned
LisSweets,5.0 ,(5 reviews),Custom Cakes、Cupcakes、Bakeries,,Closed until 8:00 AM,Women-owned
Aurora Grace,4.5 ,(72 reviews),Chocolatiers & Shops、Desserts、Macarons,Society Hill,Closed until 11:00 AM tomorrow,Women-owned
Quarantine Qakes,5.0 ,(4 reviews),Desserts、Cupcakes、Custom Cakes,,Closed until 10:00 AM,Women-owned
Cake & Joe,4.3 ,(88 reviews),Patisserie/Cake Shop、Coffee & Tea,$$·Pennsport,Closed until 7:30 AM,Women-owned
Sweet Eats Bakery,3.9 ,(272 reviews),Bakeries,$$,Closed until 8:00 AM,Women-owned
Cafe Tinto,4.1 ,(28 reviews),Bakeries、Coffee & Tea、Colombian,$,Closed until 6:00 AM,Women-owned
Cakes by Aneisha,5.0 ,(1 review),Bakeries、Custom Cakes、Cupcakes,,Closed until 10:00 AM,Women-owned
3j’s Cafe,4.5 ,(42 reviews),Breakfast & Brunch、Coffee & Tea、Sandwiches,$$·Old City,Closed until 8:00 AM,Women-owned
Stella! Baking Company,4.6 ,(42 reviews),Bakeries、Custom Cakes,$$,Closed until 10:00 AM,Women-owned
Great Awakenings Cafe,4.5 ,(39 reviews),Coffee & Tea、Bakeries、Ice Cream & Frozen Yogurt,$·Frankford,Closed until 8:00 AM,Women-owned
Nothing Bundt Cakes,4.6 ,(22 reviews),Bakeries、Desserts、Cupcakes,,Closed until 9:00 AM,Women-owned
Black Turtle Coffee,4.1 ,(55 reviews),Coffee & Tea、Coffee Roasteries、Sandwiches,Rittenhouse Square,Closed until 6:00 AM,Women-owned
Nothing Bundt Cakes,4.1 ,(15 reviews),Bakeries、Desserts、Cupcakes,,Closed until 9:00 AM,Women-owned
Candy’s Sweets Bakery,,Women-owned,Bakeries,,Closed until 6:00 AM,Women-owned
Three Legged Hare,4.5 ,(2 reviews),Bakeries,,Closed until 10:00 AM,Women-owned
Maliya’s Sweets Shack,,Women-owned,Desserts、Cupcakes、Bakeries,,Closed until 1:00 PM,Women-owned
Vault + Vine,4.5 ,(138 reviews),Flowers & Gifts、Coffee & Tea、Nurseries & Gardening,$$·East Falls,Closed until 7:00 AM,Women-owned
Mamie Colette,4.7 ,(41 reviews),Bakeries,,Closed until 6:30 AM,Women-owned
Café y Chocolate,4.6 ,(417 reviews),Mexican、Breakfast & Brunch、Desserts,$$,Closed until 9:00 AM,Women-owned
Sylvie’s French Bakery,,Women-owned,Desserts、Custom Cakes、French,,Closed until 9:00 AM,Women-owned
Cake Lady Studio,1.5 ,(2 reviews),Custom Cakes,Germantown,Closed until 9:00 AM,Women-owned
Old City Coffee,3.8 ,(282 reviews),Coffee & Tea,$·Market East,Closed until 8:00 AM,Women-owned
The Bakery House,3.7 ,(170 reviews),Bakeries,$$,Closed until 7:30 AM,Women-owned
Crave Pitman,4.5 ,(24 reviews),Bakeries,,Closed until 7:00 AM,Women-owned
